date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-18,7926,中華立鼎,604.55,720.0,603.0,690.0,362,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,7927,,254.13,272.0,206.5,220.0,254,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,8011,台通,18.6,18.6,17.9,18.0,1447,0,-230,0,-2,0.0,0.0,0.0,多
2026-06-18,8016,矽創,301.0,305.0,298.0,300.5,2605,0,-12,-10,9,0.0,0.0,0.0,空
2026-06-18,8021,尖點,554.0,554.0,531.0,543.0,1188,0,234,0,18,0.0,0.0,0.0,多
2026-06-18,8024,佑華,12.35,12.35,12.1,12.25,54,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8027,鈦昇,250.0,250.0,240.0,241.0,1515,0,52,0,60,0.0,0.0,0.0,空
2026-06-18,8028,昇陽半導體,311.0,317.5,305.0,311.5,7050,0,-1004,-120,55,0.0,0.0,0.0,空
2026-06-18,8032,光菱,48.2,48.75,47.05,47.6,331,0,35,0,0,0.0,0.0,0.0,多
2026-06-18,8033,雷虎,128.0,130.0,125.5,129.5,2842,0,546,0,-16,0.0,0.0,0.0,空
2026-06-18,8034,榮群,23.65,23.7,23.3,23.4,259,0,-19,0,0,0.0,0.0,0.0,空
2026-06-18,8038,長園科,40.3,41.9,40.25,40.8,363,0,78,0,0,0.0,0.0,0.0,空
2026-06-18,8039,台虹,147.0,149.0,143.5,145.5,5310,0,-1186,0,-60,0.0,0.0,0.0,空
2026-06-18,8040,九暘,94.1,97.2,94.1,94.8,732,0,48,0,0,0.0,0.0,0.0,空
2026-06-18,8042,金山電,195.0,198.0,189.5,195.0,1882,0,18,0,45,0.0,0.0,0.0,多
2026-06-18,8043,蜜望實,219.0,239.5,218.5,226.5,34613,0,-1304,0,-6,0.0,0.0,0.0,多
2026-06-18,8044,網家,29.05,31.15,29.05,31.15,3162,0,1090,0,8,0.0,0.0,0.0,空
2026-06-18,8045,達運光電,61.5,63.2,61.1,61.1,87,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8046,南電,900.0,912.0,874.0,874.0,17762,0,-5808,4790,120,0.0,0.0,0.0,空
2026-06-18,8047,星雲,49.0,49.55,49.0,49.45,24,0,3,0,0,0.0,0.0,0.0,多
2026-06-18,8048,德勝,65.3,66.4,65.1,66.3,317,0,72,0,4,0.0,0.0,0.0,多
2026-06-18,8049,晶采,27.6,27.85,27.5,27.7,346,0,47,0,0,0.0,0.0,0.0,多
2026-06-18,8050,廣積,55.1,56.0,55.0,55.7,691,0,210,0,0,0.0,0.0,0.0,空
2026-06-18,8054,安國,100.5,104.5,99.9,103.5,1992,0,664,0,8,0.0,0.0,0.0,空
2026-06-18,8058,耐特,94.58,95.0,92.7,93.4,164,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8059,凱碩,17.35,17.6,16.9,17.1,687,0,42,0,0,0.0,0.0,0.0,空
2026-06-18,8064,東捷,159.0,160.0,153.5,156.0,14754,0,-908,0,-16,0.0,0.0,0.0,空
2026-06-18,8066,來思達,15.65,15.65,15.5,15.55,17,0,2,0,0,0.0,0.0,0.0,多
2026-06-18,8067,志旭,12.7,12.8,12.5,12.8,14,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8068,全達,19.3,19.5,18.9,19.2,338,0,46,0,0,0.0,0.0,0.0,多
