date,stock_id,stock_name,open,high,low,close,volume,macd_status
2025-12-31,8941,關中,43.0,43.65,42.8,43.45,53,-
2025-12-31,2718,晶悅,51.8,51.8,51.0,51.8,45,-
2025-12-31,2719,燦星旅,30.3,30.4,30.0,30.0,20,-
2025-12-31,2726,雅茗-KY,13.15,13.15,12.9,12.95,31,-
2025-12-31,2706,第一店,12.9,12.95,12.85,12.9,84,-
2025-12-31,2753,八方雲集,191.0,191.0,190.0,190.5,104,-
2025-12-31,2701,萬企,11.2,11.25,11.1,11.1,31,-
2025-12-31,9960,邁達康,21.2,21.45,21.05,21.45,52,-
2025-12-31,2924,宏太-KY,21.1,21.45,20.9,21.45,4,-
2025-12-31,2702,華園,11.95,12.0,11.9,11.95,35,-
2025-12-31,2916,滿心,49.0,49.5,49.0,49.05,31,-
2025-12-31,2947,振宇五金,81.1,82.0,81.1,82.0,7,-
2025-12-31,6728,上洋,132.5,132.5,132.5,132.5,7,-
2025-12-31,2722,夏都,26.9,27.0,26.15,26.15,41,-
2025-12-31,2752,豆府,208.0,208.0,207.0,208.0,3,-
2025-12-31,3085,新零售,13.25,13.6,13.25,13.6,12,-
2025-12-31,4804,大略-KY,7.5,7.5,7.3,7.4,47,-
2025-12-31,2724,富驛-KY,21.15,21.2,21.0,21.0,12,-
2025-12-31,2704,國賓,43.15,43.4,43.1,43.15,111,-
2025-12-31,2705,六福,16.6,16.7,16.55,16.6,86,-
2025-12-31,9943,好樂迪,60.8,61.0,60.3,60.7,23,-
2025-12-31,2756,聯發國際,86.8,86.8,82.8,82.8,153,-
2025-12-31,2755,揚秦,117.0,118.5,116.0,117.5,35,-
2025-12-31,2754,亞洲藏壽司,84.0,84.1,83.8,83.9,33,-
2025-12-31,6741,91APP*-KY,71.8,74.5,71.6,74.0,293,-
2025-12-31,6768,志強-KY,106.0,106.5,104.5,105.5,500,-
2025-12-31,1736,喬山,150.0,153.0,150.0,151.0,555,-
2025-12-31,8454,富邦媒,211.0,211.5,206.5,207.5,716,-
2025-12-31,9911,櫻花,83.7,83.9,83.5,83.7,132,-
2025-12-31,3708,上緯投控,113.0,113.0,110.0,111.0,873,-
2025-12-31,9910,豐泰,115.5,116.5,111.5,116.5,3077,-
2025-12-31,3557,嘉威,37.2,37.2,36.5,36.6,28,-
2025-12-31,6689,伊雲谷,61.1,62.9,61.0,61.5,376,-
2025-12-31,1598,岱宇,20.55,20.85,20.55,20.7,83,-
2025-12-31,9904,寶成,30.2,30.45,30.1,30.15,11337,-
2025-12-31,9802,鈺齊-KY,102.0,102.0,100.5,102.0,746,-
2025-12-31,6754,匯僑設計,48.1,48.15,47.5,48.15,6,-
2025-12-31,1432,大魯閣,18.05,18.25,17.85,18.25,348,-
2025-12-31,1439,雋揚,30.0,30.0,28.45,29.9,56,-
2025-12-31,3054,立萬利,31.9,33.75,31.9,32.45,357,-
2025-12-31,1472,三洋實業,87.8,88.0,87.5,88.0,18,-
2025-12-31,6806,森崴能源,38.4,38.5,37.8,37.85,799,-
2025-12-31,8478,東哥遊艇,190.0,191.0,188.0,188.0,216,-
2025-12-31,5306,桂盟,90.2,91.0,89.8,90.7,102,-
2025-12-31,9955,佳龍,31.15,31.35,30.5,30.5,602,-
2025-12-31,6581,鋼聯,104.5,106.0,104.0,106.0,14,-
2025-12-31,8341,日友,77.6,79.6,77.6,78.7,284,-
2025-12-31,6641,基士德-KY,19.15,19.15,19.0,19.05,28,-
2025-12-31,8482,商億-KY,50.0,50.3,49.45,49.45,3,-
2025-12-31,6670,復盛應用,258.0,258.0,254.0,255.5,289,-
2025-12-31,4536,拓凱,160.0,162.0,160.0,161.5,192,-
2025-12-31,9935,慶豐富,20.2,20.25,20.05,20.05,190,-
2025-12-31,9934,成霖,10.1,10.1,9.99,10.05,294,-
2025-12-31,8422,可寧衛,29.9,33.1,29.6,31.6,190871,-
2025-12-31,6671,三能-KY,35.9,35.95,35.9,35.9,4,-
2025-12-31,2424,隴華,36.1,36.1,35.3,35.4,26,-
2025-12-31,9930,中聯資源,70.4,70.5,70.2,70.3,68,-
2025-12-31,2062,橋椿,20.6,20.6,20.35,20.55,156,-
2025-12-31,8438,昶昕,41.65,41.9,40.2,41.9,4648,-
2025-12-31,8473,山林水,37.45,37.5,36.75,37.4,404,-
2025-12-31,9914,美利達,82.9,82.9,81.4,82.7,1009,-
2025-12-31,3130,一零四,225.0,225.0,224.5,224.5,3,-
2025-12-31,2442,新美齊,25.7,25.7,24.3,25.0,1286,-
2025-12-31,8467,波力-KY,175.0,180.0,175.0,180.0,375,-
2025-12-31,8464,億豐,364.0,365.5,361.0,361.0,367,-
2025-12-31,6807,峰源-KY,45.2,45.65,45.2,45.65,3,-
2025-12-31,9921,巨大,95.0,95.0,92.6,92.6,658,-
2025-12-31,9924,福興,52.3,53.0,52.3,52.4,112,-
2025-12-31,4530,宏易,29.0,29.0,28.95,28.95,14,-
2025-12-31,8171,天宇,25.5,25.5,24.2,24.4,81,-
2025-12-31,3713,新晶投控,22.9,23.0,22.65,22.9,71,-
2025-12-31,8423,保綠-KY,17.8,18.0,17.8,18.0,8,-
2025-12-31,6616,特昇-KY,9.75,9.8,9.7,9.74,70,-
2025-12-31,2640,大車隊,131.0,143.5,130.5,143.5,77,-
2025-12-31,6690,安碁資訊,168.0,174.0,168.0,174.0,47,-
